Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season
Silt,6.99,40.77,0.84,1.48,31,61,109,34.57,81.64,592.32,Wheat,Sowing,Kharif,Drip,Sugarcane,East,194.66,2.67
Loamy,6.85,27.09,1.44,2.4,24,65,72,13.26,84.06,2840.56,Rice,Vegetative,Zaid,Canal,Cotton,East,279.63,4.64
Clay,7.85,56.55,0.99,0.36,56,45,68,35.64,80.46,283.1,Wheat,Harvest,Zaid,Rainfed,Cotton,South,166.29,4.26
Sandy,7.7,59.81,0.48,1.97,75,21,79,25.57,38.72,1162.05,Sugarcane,Flowering,Zaid,Sprinkler,Wheat,South,63.31,6.58
Sandy,4.54,31.59,0.52,1.43,72,67,11,33.5,57.89,2036.47,Potato,Flowering,Rabi,Rainfed,Maize,West,116.7,7.12
Loamy,6.78,30,0.58,0.29,52,81,32,34.74,39.24,954.49,Rice,Sowing,Zaid,Drip,Maize,Central,226.93,2.65
Sandy,5.2,47.73,1.34,2.6,124,64,106,36.31,77.71,2957.38,Wheat,Vegetative,Kharif,Rainfed,Rice,North,56.79,5.16
Sandy,6.1,15.29,1.37,2.2,151,48,63,13.73,38.32,1136.44,Tomato,Vegetative,Rabi,Sprinkler,Cotton,South,244.71,4.12
Clay,6.01,12.45,1.34,1.52,110,11,65,12.37,86.2,2059.23,Potato,Harvest,Kharif,Rainfed,Sugarcane,East,109.98,2.1
Silt,8.33,10.48,0.33,2.53,24,85,69,16.22,44.04,1531.46,Maize,Vegetative,Rabi,Rainfed,Sugarcane,North,129.94,1.89
Clay,6.84,29.02,0.62,2.01,24,55,33,37.11,83.9,1058.77,Tomato,Flowering,Rabi,Rainfed,Wheat,Central,237.05,4.06
Silt,5.74,13.46,1.39,2.01,50,78,85,26.66,65.51,2123.07,Maize,Sowing,Zaid,Canal,Rice,Central,253.63,4.82
Silt,7.61,54.91,0.32,1.63,146,46,17,15.42,66.5,1658.74,Maize,Flowering,Kharif,Rainfed,Rice,North,154.19,7.92
Loamy,7.3,28,0.7,0.55,42,20,80,39.64,70.07,726.83,Potato,Harvest,Rabi,Canal,Maize,East,83.55,3.95
Silt,5.17,53.51,0.52,2.07,113,54,27,37.91,52.99,624.67,Potato,Vegetative,Rabi,Drip,Tomato,East,216.35,5.45
Loamy,5.09,24.93,1.13,1.91,95,75,66,31.69,74.93,2146.47,Tomato,Flowering,Rabi,Drip,Potato,North,291.48,2.24
Loamy,6.7,55.15,0.94,1.66,71,38,73,37.76,86.62,2115.16,Rice,Sowing,Zaid,Sprinkler,Potato,North,54.73,1.07
Clay,7.24,11.58,1.12,2.77,92,70,58,31.78,30.45,302.68,Potato,Harvest,Zaid,Sprinkler,Cotton,East,51.77,5.27
Clay,6.97,32.08,0.74,2.5,139,69,47,20.23,87.92,2195.23,Potato,Sowing,Rabi,Drip,Rice,Central,213.07,2.76
Sandy,5.41,48.58,0.62,0.83,33,56,41,38.97,56.99,2148.36,Maize,Vegetative,Zaid,Canal,Maize,South,93.92,6.07
